,岗位代码,用人单位序号,用人单位名    称,岗位类别,"岗位
名称",从事工作,招考数量,入围比例,"来源
类别",学历,学位,所学专业,考试专业科    目,其他条件,工作地点,联系电话
0,2023006577,D232156,陆军军事交通学院,高教,助教,航海技术相关课程教学,4,1:3,高校毕业生或社会人才,全日制研究生（硕士以上）,硕士以上,交通运输工程,数学2+物理,男性，国内“双一流”建设高校，第一学历为航海技术本科,江苏镇江,"0511-85339308,0511-85339341"
1,2023006578,D232156,陆军军事交通学院,高教,助教,航海技术相关课程教学,2,1:3,高校毕业生或社会人才,全日制研究生（硕士以上）,硕士以上,交通运输工程,数学2+物理,男性，第一学历为航海技术本科,江苏镇江,"0511-85339308,0511-85339341"
2,2023008244,D232206,海军潜艇学院,高教,助教,航海技术相关课程教学,1,1:5,高校毕业生或社会人才,全日制研究生（硕士以上）,硕士以上,交通运输工程,数学2+物理,第一学历为本科，且本科、硕士均为全日制,山东青岛,0532-51858193
3,2023008829,D232210,海军士官学校,高教,助教,航海技术相关课程教学,2,1:3,高校毕业生或社会人才,全日制研究生（硕士以上）,硕士以上,交通运输工程,数学2+物理,男性，第一学历为航海技术本科,安徽蚌埠,0552-2979061
4,2023025363,D233386,武警部队海警学院,高教,助教,航海技术相关课程教学,3,1:5,高校毕业生或社会人才,全日制研究生（硕士）,硕士,交通运输工程,数学2+物理,男性，第一学历为本科，且本科、硕士均为全日制，第一学历为航海技术本科,浙江宁波,15257866605
5,2023025364,D233386,武警部队海警学院,高教,助教,航海技术相关课程教学,1,1:5,高校毕业生或社会人才,全日制研究生（硕士）,硕士,交通运输工程,数学2+物理,男性，第一学历为全日制本科，第一学历为航海技术本科,浙江宁波,15906501916
6,2023025365,D233386,武警部队海警学院,高教,助教,航海技术相关课程教学,1,1:5,高校毕业生或社会人才,全日制研究生（硕士）,硕士,交通运输工程，交通运输工程（专业学位）,数学2+物理,国内“双一流”建设高校，且第一学历为全日制本科，第一学历为航海技术本科,浙江宁波,19548289057
7,2023025366,D233386,武警部队海警学院,高教,助教,航海技术相关课程教学,1,1:5,高校毕业生或社会人才,全日制研究生（硕士）,硕士,交通运输工程，交通运输工程（专业学位）,数学2+物理,第一学历为全日制本科，第一学历为航海技术本科,浙江宁波,19548289057
8,2023025373,D233386,武警部队海警学院,高教,助教,航海技术相关课程教学,6,不限,高校毕业生或社会人才,全日制研究生（硕士）,硕士,交通运输工程,免笔试,男性，“双一流”建设高校及建设学科硕士以上研究生,浙江宁波,15906501916
9,2023025375,D233386,武警部队海警学院,高教,助教,航海技术相关课程教学,1,不限,高校毕业生或社会人才,全日制研究生（硕士）,硕士,交通运输工程,免笔试,“双一流”建设高校及建设学科硕士以上研究生,浙江宁波,15257866605
10,2023025565,D233388,武警部队士官学校,高教,助教,航海技术相关课程教学,2,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：航海技术",数学2+物理,男性，“双一流”建设高校（学科），第一学历为航海技术本科,浙江杭州,0571-58087092
11,2023025566,D233388,武警部队士官学校,高教,助教,航海技术相关课程教学,1,1:3,高校毕业生或社会人才,全日制本科以上,学士以上,"研究生：交通运输工程
本科：航海技术",数学2+物理,“双一流”建设高校（学科），第一学历为航海技术本科,浙江杭州,0571-58087092
12,2023006535,D232156,陆军军事交通学院,高教,助教,舰船教学、实验和科研,2,1:3,高校毕业生,全日制研究生（硕士以上）,硕士以上,交通运输工程,数学2+物理,男性，“双一流”建设高校及建设学科硕士以上研究生，第一学历为航海技术本科,江苏镇江,"0511-85339308,0511-85339341"
13,2023006553,D232156,陆军军事交通学院,高教,助教,船艺相关教学,2,1:3,高校毕业生或社会人才,全日制研究生（硕士以上）,硕士以上,交通运输工程,教育学,男性，国内“双一流”建设高校，第一学历为航海技术本科,江苏镇江,"0511-85339308,0511-85339341"
